movie_name,ranking,score,score_num
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
肖申克的救赎,9.6,9.6,1436269
